date,year,type,country,state,location,activity,sex,age,injury,time,species
02 Dec-2023,2023.0,Unprovoked,MEXICO,Jalisco,San Patricio Melaque,Swimming,F,26,Fatal,Morning,
30 Nov-2023,2023.0,Unprovoked,AUSTRALIA,Queensland,Clack Island,Swimming,M,21,Injured,11h30,Bull shark
21 Nov-2023,2023.0,Unprovoked,BAHAMAS,Grand  Bahama Island,Tiger Beach,Diving,F,47,Fatal,10h30,
10 Nov-2023,2023.0,Unprovoked,AUSTRALIA,South Australia,Port Noarlunga,Diving,F,32,Injured,13h20,
05 Nov-2023,2023.0,Unprovoked,USA,Florida,Palm Beach County,Swimming,M,66,Injured,10h30,
03 Nov-2023,2023.0,Unprovoked,AUSTRALIA,Westerm Australia,Peak Island,Fishing,M,,Injured,14h00,Lemon shark
02 Nov-2023,2023.0,Unprovoked,NEW ZEALAND,North Island,Cape Pallister,Diving,M,,Injured,09h00,White shark
Reported 02 Nov-2023,2023.0,Questionable,EGYPT,Southern Red Sea,Fury Shoal,Diving,M,66,No injury,,White shark
31 Oct-2023,2023.0,Unprovoked,AUSTRALIA,South Australia,Streaky Bay,Surfing,M,55,Fatal,10h20,White shark
25 Oct 2023,2023.0,Unprovoked,USA,Hawaii,"Pua’ena Point,  Haleiwa, Oahu",Surfing,M,30,Bite to right thigh,15h05,Tiger shark
23 Oct-2023,2023.0,Provoked,Mexico,Quintana Roo,Banco Chinchorro Biosphere Reserve,Fishing,M,59,Injured,,
21 Oct-2023,2023.0,Watercraft,AUSTRALIA,Western Australia,"Alexander Bay, Esperance",Fishing,M,, Dinghy damaged by shark. No injurty to the 5 men onboard,17h00,"Bronze whaler, 6'"
20 Oct 2023,2023.0,Unprovoked,BELIZE,Belize District,"San Pedro , Ambergris Caye",Snorkeling,F,8,Injured,,"Nurse shark, 5' to 6'"
15 Oct 2023,2023.0,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,50,Injured,16h00,Tiger shark
13 Oct-2023,2023.0,Unprovoked,USA,California,"Linda Mar, Pacific State Beach, San Mateo County",Surfing,M,52,Minor linjury to left lower leg ,15h45,
02 Oct-2023,2023.0,Unprovoked,USA,Hawaii,"Paia, Maui",Surfing,F,45,Injured,13h00,10' to 12' Galapagos shark
01 Oct-2023,2023.0,Unprovoked,AUSTRALIA,South Australia,Beachport,Swimming,F,64,Injured,07h45,
01 Oct-2023,2023.0,Unprovoked,USA,California,"Wildcat Beach, Marin County",Swimming,M,52,Body not recovered,10h40,
18 Sep-2023,2023.0,Unprovoked,USA,South Carolina,Horry County,Swimming,M,,Injured,16h00,
13 Sep-2023,2023.0,Unprovoked,EGYPT,South Sinai,Dahab,Swimming,F,34,Injured,,Tiger shark
12 Sep-2023,2023.0,Questionable,USA,Florida,Volusia County,Surfing,M,38,Injured,07h50,
11 Sep-2023,2023.0,Unprovoked,USA,Florida,Brevard County,Surfing,M,,Bite to lower back,,
09 Sep- 2023,2023.0,Unprovoked,PHILIPPINES,Bolinao,"Pangasinan, Ilocos Norte, Luzon Island",Fishing,M,,Injured,,
Reported 06-Sep-2023,2023.0,Watercraft,Coral Sea,,,On a round-the-world expedition,M,,Catamaran severely damaged by sharks. No injurty to the 3 men onboard,01h00,Cookiecutter sharks
04 Sep 2023,2023.0,Unprovoked,USA,Florida,Volusia County,Surfing,M,30s,Injured,,
