date,year,type,country,state,location,activity,sex,age,injury,time,species
21-Dec-2005,2005.0,Unprovoked,USA,Hawaii,"Keawakapu Beach, Maui",Swimming,M,29,Injured,11h45,Tiger shark
20-Dec-2005,2005.0,Watercraft,ATLANTIC OCEAN,600 nm west of the Canary Islands,,Competing in the Woodvale Atlantic Rowing Race,M,,No injury,13h30,3 m shark
11-Dec-2005,2005.0,Unprovoked,AUSTRALIA,Queensland,St. Crispin Reef,Fishing,M,44,Injured,11h00,White shark
Reported 06-Dec-2005,2005.0,Watercraft,AUSTRALIA,South Australia,"Middle Beach, 40 km north of Adelaide",Fishing,M,,No injury,15h30,White shark
Reported 29-Nov-2005,2005.0,Unprovoked,USA,Florida,"Cape San Blas, Gulf County",Surfing,M,teen,Injured,,
27-Nov-2005,2005.0,Unprovoked,USA,Florida,Volusia County,Surfing,M,23,Injured,13h00,4' shark
25-Nov-2005,2005.0,Watercraft,AUSTRALIA,Victoria,"6 km off Collendina, south of Melbourne",Fishing,M,,No injury,,White shark
25-Nov-2005,2005.0,Unprovoked,AUSTRALIA,Victoria,Flinders,Surfing,M,18,Injured,18h00,1.8 m shark
25-Nov-2005,2005.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,26,Injured,11h30,
24-Nov-2005-,2005.0,Unprovoked,NEW CALEDONIA,Loyalty Islands,Maré,Fishing,M,,Injured,20h30,
21-Nov-2005,2005.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Surfing,M,30s,Injured,Afternoon,4' shark
20-Nov-2005,2005.0,Unprovoked,USA,Florida,Volusia County,Surfing,M,17,Injured,14h30,
Reported  16-Nov-2005,2005.0,Watercraft,NEW CALEDONIA,,,,M,,No injury,,White shark
15-Nov-2005,2005.0,Provoked,SOUTH AFRICA,Eastern Cape Province,Aston Bay,Fishing,M,32,Injured,14h00,"Raggedtooth shark, 2.5m "
12-Nov-2005,2005.0,Unprovoked,USA,Florida,Volusia County,Surfing,M,18,Injured,13h00,6' shark
02-Nov-2005,2005.0,Unprovoked,USA,California,"Mavericks, Half Moon Bay, San Mateo County",Surfing,M,25,No injury,16h45,
02-Nov-2005,2005.0,Unprovoked,USA,California,"Ocean Beach, San Francisco, San Francisco County",Surfing,M,26,No injury,07h15,White shark
29-Oct-2005,2005.0,Unprovoked,USA,Florida,Volusia County,Wading,M,15,Injured,,2' to 3' shark
25-Oct-2005,2005.0,Unprovoked,ST. MAARTIN,Simpson Bay,Sunterra Beach,Standing,M,55,Injured,08h00,2' shark
22-Oct-2005,2005.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Uilenkraalsmond (near Gansbaai),Surfing,M,20,Injured,Morning,3 m shark
21-Oct-2005,2005.0,Unprovoked,USA,California,"Klamath River mouth, Del Norte County",Surfing,M,36,No injury,11h00,White shark
19-Oct-2005,2005.0,Unprovoked,USA,California,"Salmon Beach, Sonoma County",Surfing,F,20,Injured,10h30,White shark
15-Oct-2005,2005.0,Provoked,USA,Florida,Volusia County,Wading,M,15,Injured,17h55,
13-Oct-2005,2005.0,Unprovoked,USA,Hawaii,"Honokowai, Maui",Surfing,M,22,No injury,18h00,Tiger shark
11-Oct-2005,2005.0,Unprovoked,GRAND CAYMAN,East Wall,Jack McKenney's Canyon,Diving,F,57,No injury,15h00,Caribbean reef sharks
06-Oct-2005,2005.0,Unprovoked,USA,Florida,Volusia County,Surfing,M,48,Injured,16h05,
03-Oct-2005,2005.0,Unprovoked,BAHAMAS,Abaco Islands,Grand Cay,Diving,M,35,Injured,,
01-Oct-2005,2005.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sunny Cove, Fish Hoek",Surfing,M,52,No injury,15h00,White shark
Reported      27-Sep-2005,2005.0,Unprovoked,AUSTRALIA,New South Wales,Arakoon's Little Bay,Surfing,M,28,No injury,,Tiger shark
24-Sep-2005,2005.0,Unprovoked,AUSTRALIA,South Australia,Kangaroo Island,Surfing,M,26,Injured,12h05,White shark
23-Sep-2005,2005.0,Unprovoked,AUSTRALIA,Western Australia,"Scarborough Beach, Perth",Surfing,M,44,No injury,Morning,Bronze whaler shark
22-Sep-2005,2005.0,Invalid,USA,Florida,"Tigertail Beach, Collier County",Surfing,M,,Injured,07h30,Not confirmed
20-Sep-2005,2005.0,Unprovoked,USA,South Carolina,Horry County,Surfing,F,68,Injured,16h30,3' to 4' shark
11-Sep-2005,2005.0,Unprovoked,USA,South Carolina,Folly Beach,Surfing,M,18,Fatal,14h00,
07-Sep-2005,2005.0,Unprovoked,AUSTRALIA,New South Wales,"Park Beach, Coff's Harbour",Standing,M,15,Injured,Dusk,
05-Sep-2005,2005.0,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Wading,F,18,Injured,15h20,Bull shark
04-Sep-2005,2005.0,Unprovoked,AUSTRALIA,South Australia,"Fishery Bay, Eyre Peninsula",Surfing,M,40,Injured,15h00,White shark
02-Sep-2005,2005.0,Unprovoked,USA,Florida,Volusia County,Surfing,M,62,Injured,11h10,
02-Sep-2005,2005.0,Provoked,THAILAND,,On deck of fishing trawler 100 nautical miles offshore,Removing shark from net,M,21,Fatal,,"2 m [6.75'] shark, 200-kg shark T"
24-Aug-2005,2005.0,Unprovoked,AUSTRALIA,South Australia,Glenelg ,Diving,M,23,Fatal,16h10,White shark
24-Aug-2005,2005.0,Unprovoked,USA,California,"Scripps, LaJolla, San Diego County",Surfing,M,37,Injured,11h00,White shark
22-Aug-2005,2005.0,Invalid,USA,South Carolina,Horry County,"Boogie boarding, kicked at object in the water",M,17,Injured,Afternoon,Not confirmed
21-Aug-2005,2005.0,Unprovoked,USA,South Carolina,Horry County,Swimming,M,8,Injured,Morning,Black shark
19-Aug-2005,2005.0,Unprovoked,USA,Texas,Crystal Beach (east of Galveston),Walking,M,12,Injured,20h00,
14-Aug-2005,2005.0,Invalid,SOUTH AFRICA,Western Cape Province,"Milnerton Lagoon, Cape Town",,M,,Human foot recovered from the water,,Not confirmed
12-Aug-2005,2005.0,Unprovoked,USA,North Carolina,"Carolina Beach off Texas Avenue, New Hanover County",Surfing,M,16,Injured,11h30,1.8 m [6'] shark
6-Aug-2005,2005.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,14,Injured,09h45,
1-Aug-2005,2005.0,Invalid,Seychelles,Inner Islands,Off North Island,Fishing,M,,Fatal,,Invalid
27-Jul-2005,2005.0,Unprovoked,USA,Florida,Volusia County,Wading,F,13,Injured,18h00,
23-Jul-2005,2005.0,Unprovoked,USA,Florida,Volusia County,Surfing,M,61,"Right foot: Toes and back of foot, minor injury",11h30,
22-Jul-2005,2005.0,Invalid,USA,Florida,Volusia County,Surfing,M,25,Injured,11h15,Not confirmed
17-Jul-2005,2005.0,Invalid,LIBERIA,,,Swimming,M,,Presumed to have drowned until his body washed ashore 2 weeks later with shark bites,,Not confirmed
17-Jul-2005,2005.0,Provoked,CHINA,Shanghai,"Ocean World, Changfeng Park",Diving,M,24,Injured,,3.5 m [11.5']shark
Reported      15-Jul-2005,2005.0,Invalid,AUSTRALIA,,,,M,,Injured,,No shark involvement
15-Jul-2005,2005.0,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",Swimming,M,22,Injured,16h40,[4.5' to 5'] shark
13-Jul-2005,2005.0,Unprovoked,USA,Texas,"Port Bolivar, Galveston County",Holding onto an inflatable boat,F,14,Injured,13h00,[4' to 5']
1-Jul-2005,2005.0,Unprovoked,USA,Florida,"Boca Grande, Lee County",Standing,M,19,Injured,11h30,
27-Jun-2005,2005.0,Unprovoked,USA,Florida,"Cape San Blas, Gulf County",Fishing,M,16,Injured,11h30,Bull shark
25-Jun-2005,2005.0,Unprovoked,USA,Florida,"Destin, Walton County",Swimming,F,14,Fatal,11h15,Bull shark
22-Jun-2005,2005.0,Unprovoked,VANUATU,Malampa Province,Atchin Island off Malakula,Swimming,F,7,Fatal,Afternoon,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha"
20-Jun-2005,2005.0,Unprovoked,MEXICO ,Baja California,San Luis beach,Surfing,M,,Injured,07h00,
18-Jun-2005,2005.0,Invalid,USA,Hawaii,Maui,Swimming,M,49,No injury,08h00,Invalid
16-Jun-2005,2005.0,Unprovoked,USA,Florida,Brevard County,Swimming,M,20,Injured,Afternoon,"Unknown, but it was reported that a shark tooth was recovered from the wound"
13-Jun-2005,2005.0,Unprovoked,SOUTH KOREA,South Ch'ungch'ong Province,Dando/Kaeui Island ,Diving,F,38,Injured,,White shark
07-Jun-2005,2005.0,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Boogie boarding,F,11,Injured,11h30 ,
05-Jun-2005,2005.0,Invalid,USA,New Jersey,"Surf City, Long Beach Island, Ocean County",Surfing,M,17,Injured,11h00,White shark
04-Jun-2005,2005.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Miller's Point,Diving,M,22,Fatal,15h45,White shark
02-Jun-2005,2005.0,Unprovoked,USA,Texas,"Mustang Island, Corpus Christi",Wading,M,6,Injured,Morning,
28-May-2005,2005.0,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,33,Injured,17h30,"""small shark"""
27-May-2005,2005.0,Unprovoked,USA,Florida,"Sand Key Beach, Clearwater, Pinellas County",Crouching in 2' of water,F,,Injured,18h30,"18"" to 36"" shark"
25-May-2005,2005.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Surfing,M,32,Injured,11h00,Raggedtooth shark
15-May-2005,2005.0,Unprovoked,AUSTRALIA,Queensland,50 km east of Townsville,Fishing,M,,Severe injury to lower leg,,Black shark
14-May-2005,2005.0,Watercraft,USA,Hawaii,"North Kihei, Maui",Kayaking,M,,No injury,11h00,Tiger shark
03-May-2005,2005.0,Unprovoked,MADAGASCAR,,,Fishing,M,,Injured,,2.5 m shark
02-May-2005,2005.0,Sea Disaster,USA,South Carolina,Off Sullivans Island,Sea Disaster,M,Teens,No injury,,
02-May-2005,2005.0,Unprovoked,USA,Hawaii,"Noreiga's, Maui",Surfing,M,47,No injury,10h30,Tiger shark
25-Apr-2005,2005.0,Provoked,AUSTRALIA,New South Wales,Bermagui,Fishing,M,25,Injured,23h00,"Mako shark, 1.5 m [5'] "
17-Apr-2005,2005.0,Unprovoked,AUSTRALIA,New South Wales,Crookhaven,,M,,Injured,,
16-Apr-2005,2005.0,Unprovoked,AUSTRALIA,Northern Territory,Bremer Island,Fishing,M,20,Injured,,Copper shark
16-Apr-2005,2005.0,Unprovoked,AUSTRALIA,New South Wales,Bronte Beach,Surfing,M,40,No injury,06h10,Bronze whaler shark
13-Apr-2005,2005.0,Unprovoked,USA,Florida,"Crescent Beach, Sarasota County",Wading,F,70,Injured,,Black shark
09-Apr-2005,2005.0,Invalid,USA,Florida,"Central Gulf Coast, St. John County",Surfing,M,52,Injured,,Not confirmed
07-Apr-2005,2005.0,Unprovoked,USA,Texas,"Isla Blanca Park, South Padre Island, Cameron County",Surfing,M,37,Injured,19h00,
06-Apr-2005,2005.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,F,,Injured,,Hammerhead shark
06-Apr-2005,2005.0,Invalid,HONDURAS,Bay Islands,Utila,Diving,F,,Injured,,Not confirmed
28-Mar-2005,2005.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Noordhoek,Surfing,M,32,Injured,09h45,4 m [13'] shark
Reported    27-Mar-2005,2005.0,Unprovoked,AUSTRALIA,New South Wales,,Surfing,M,,No injury,,
25-Mar-2005,2005.0,Unprovoked,VENEZUELA,,Punta Caracas,Surfing,M,,Injured,17h30,
19-Mar-2005,2005.0,Unprovoked,AUSTRALIA,Western Australia,"Wreck Point, Abrolhos Islands",Snorkeling,M,26,Fatal,14h00,White shark
12-Mar-2005,2005.0,Provoked,USA,New Mexico,"Albuquerue Aquarium, Albuquerue",Diving,M,45,Injured,15h30,Tiger shark
10-Mar-2005,2005.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Isipingo,,M,51,Fatal,,Invalid
09-Mar-2005,2005.0,Provoked,NEW ZEALAND,North Island,"Waiapu River mouth , East Cape",Fishing,M,,No injury,14h00,"Bronze whaler shark, 4.3 m [14'] "
05-Mar-2005,2005.0,Unprovoked,SOLOMON ISLANDS,Santa Isabel Province,,Diving,M,,Injured,,
26-Feb-2005,2005.0,Unprovoked,AUSTRALIA,Queensland,Brisbane River,Swimming,M,18,Injured,,Bull shark
22-Feb-2005,2005.0,Provoked,USA,Florida,"Long Key, Monroe County",Fishing,M,,Speared shark bit his chest PROVOKED INCIDENT,,"Nurse shark, 3' "
16-Feb-2005,2005.0,Unprovoked,USA,Hawaii,"Rocky Point, north shore of O'ahu",Surfing,M,,No injury,14h30,Tiger shark
13-Feb-2005,2005.0,Unprovoked,USA,Florida,Fort Lauderdale,Fishing,M,,Injured,,1.8 m [6'] Caribbean reef shark
04-Feb-2005,2005.0,Unprovoked,BRAZIL,Bahia,Ilhéus,Surfing,M,12,Injured,,
20-Jan-2005,2005.0,Unprovoked,CUBA,Santiago de Cuba Province,Uvero,Swimming,M,19,Left foot severed,,3 m [10'] shark
19-Jan-2005,2005.0,Provoked,AUSTRALIA,Victoria,Port Phillip Bay,Fishing,M,,No injury,,3 m shark
14-Jan-2005,2005.0,Provoked,AUSTRALIA,Victoria,Blairgowrie,Sailing,M,,No injury,14h00,"Bronze whaler shark, 2 m to 3 m [6.75' to 10']  "
08-Jan-2005,2005.0,Watercraft,NEW ZEALAND,North Island,Taupiri Bay,Fishing,M,39,No injury,12h00,White shark
26-Dec-2004,2004.0,Invalid,SRI LANKA,Eastern Province,Pasikudha,"Swept out to sea by the tsunami, she clung  to a log for 24 hours",F,11,No injury,,No shark involvement
16-Dec-2004,2004.0,Unprovoked,AUSTRALIA,South Australia,"West Beach, Adelaide",Surfing,M,18,Fatal,15h15,White shark
11-Dec-2004,2004.0,Unprovoked,AUSTRALIA,Queensland,Opal Reef,Fishing,M,38,Fatal,13h00,Bull shark
27-Nov-2004,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,20,Injured,18h00,Raggedtooth shark
26-Nov-2004,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie,Playing,M,16,Injured,,Raggedtooth shark
15-Nov-2004,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",Swimming,F,77,Fatal,07h00,White shark
11-Nov-2004,2004.0,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,F,38,Injured,13h30,White shark
11-Nov-2004,2004.0,Unprovoked,VANUATU,Malampa Province,Malakula (Malakula Island),Snorkeling,M,30s,Injured,09h00,
Nov-2004,2004.0,Unprovoked,NEW CALEDONIA,North Province,Koumac,Diving,M,,Injured,,3 m shark
31-Oct-2004,2004.0,Unprovoked,CUBA,Camaguey Province,Santa Lucia,Diving,M,40,Injured,14h00,Bull shark
30-Oct-2004,2004.0,Invalid,NEW ZEALAND,North Island,Whangarei,,M,,No injury,,Invalid
30-Oct-2004,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Gansbaai,Chumming for white sharks,M,52,Injured,Morning,White shark
21-Oct-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,Stockton Beach,Surfing,M,59,Injured,Afternoon,"Bronze whaler shark, 2.4 m [8'] "
10-Oct-2004,2004.0,Unprovoked,USA,California,"Limantour Beach, Point Reyes National Seashore",Surfing,M,,Injured,09h30,White shark
09-Oct-2004,2004.0,Unprovoked,USA,Hawaii,Moloka'i,Fishing,M,34,Injured,12h40,Tiger shark
09-Oct-2004,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey’s Bay,Surfing,M,34,Injured,Morning,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']"
06-Oct-2004,2004.0,Unprovoked,REUNION,Conservatória District,"P' tit Paris, Saint-Pierre",Body boarding,M,15,Injured,16h15,Tiger shark
02-Oct-2004,2004.0,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",Surfing,M,16,No injury,15h30,
01-Oct-2004,2004.0,Unprovoked,USA,California,"Lifeguard Tower 16, Huntington Beach, Orange County",Surfing,M,40,No injury,14h00,
25-Sep-2004,2004.0,Watercraft,AUSTRALIA,Queensland,Batt Reef,Fishing,M,,No injury,12h00,Tiger shark
20-Sep-2004,2004.0,Unprovoked,USA,Oregon,Gold  Beach,Surfing,M,26,Injured,09h00,White shark
10-Sep-2004,2004.0,Invalid,USA,Texas,South Padre Island,Surfing,M,,Minor scratch on calf,Between 05h00 and 08h00,Shark involvement questionable
08-Sep-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,"Pina, Recife",Swimming,M,,Fatal,,
04-Sep-2004,2004.0,Unprovoked,USA,South Carolina ,Horry County,Jumping,F,17,Injured,15h40,2.4 m [8'] shark
29-Aug-2004,2004.0,Unprovoked,USA,Florida,Brevard County,Walking,F,38,Injured,17h30,
21-Aug-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Bathing,M,24,Injured,13h00,Tiger shark
20-Aug-2004,2004.0,Unprovoked,USA,California,"204s, San Clemente, Orange County",Surfing,M,,Injured,17h30,White shark
15-Aug-2004,2004.0,Unprovoked,USA,California,"Kibesillah, Mendocino County",Diving,M,50,Fatal,16h00,White shark
06-Aug-2004,2004.0,Unprovoked,USA,Florida,"Big Bayou, St. Petersburg, Pinellas County ",Swimming,M,47,Injured,20h30,1.2 m [4'] shark
03-Aug-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Fishing,M,30,Injured,14h00,
Aug-2004,2004.0,Watercraft,SOUTH AFRICA,KwaZulu-Natal,Park Rynie,Fishing,M,,No injury,,White shark
31-Jul-2004,2004.0,Unprovoked,USA,Florida,Brevard County,Surfing,F,20,Injured,13h00,
30-Jul-2004,2004.0,Unprovoked,RUSSIA,Kuril Islands in the Pacific,"Kunashir Island, 70 km from northern Japan",Diving,M,,Injured,,White shark
28-Jul-2004,2004.0,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Surfing,F,28,Injured,17h30,
27-Jul-2004,2004.0,Unprovoked,USA,North Carolina,"Carolina Beach, New Hanover County",Swimming,F,13,Injured,17h00,1.8 m [6'] shark
27-Jul-2004,2004.0,Unprovoked,USA,Texas,Galveston Island,Swimming,F,19,Injured,16h30,1.2 m to 1.5 m [4' to 5'] shark
25-Jul-2004,2004.0,Unprovoked,USA,Texas,"Bryan Beach, Brazoria County",Fishing,M,11,Right forearm nearly severed and bites above & below the right knee,19h30,Bull shark
" 19-Jul-2004 Reported to have happened  ""on the weekend""",2004.0,Watercraft,AUSTRALIA,Western Australia,"7 km off Trigg surf beach, Perth",Fishing,M,,No injury,,White shark
15-Jul-2004 ,2004.0,Unprovoked,JAPAN,Wakayama Prefecture,Susami,Fishing,M,51,Suffered broken ribs when the shark's tail fin slammed into his chest,,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] "
10-Jul-2004,2004.0,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders Beach, Margaret River",Surfing,M,30,Fatal,14h10,"2 sharks, 4.5 m & 3 m "
02-Jul-2004,2004.0,Unprovoked,EGYPT,Sinai Peninsula,The lagoon at Dahab,Snorkeling,F,Teen,Hand severed,,Black shark
02-Jul-2004,2004.0,Unprovoked,USA,Alabama,"Gulf Shores Beach, Baldwin County",Wading,M,7,Injured,16h40,4' to 5' shark
26-Jun-2004,2004.0,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,45,No injury,09h00,White shark
26-Jun-2004,2004.0,Invalid,AUSTRALIA,Western Australia,Floreat Beach,Fishing,M,,No injury,,Invalid
14-Jun-2004,2004.0,Unprovoked,USA,Florida,"Disney / Vero Beach, Indian River County",Diving,F,,Injured,,
10-Jun-2004,2004.0,Unprovoked,AUSTRALIA,Western Australia,Bunbury,Body boarding,M,17,Injured,Late afternoon,"Bronze whaler shark, 2.5 m [8.25'] "
10-Jun-2004,2004.0,Unprovoked,USA,Florida,Volusia County,Swimming,M,8,Injured,18h00,1.2 m [4'] shark
02-Jun-2004,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,Swimming,M,21,Fatal,15h00,White shark
29-May-2004,2004.0,Unprovoked,USA,Texas,"Pirate's Beach, Galveston Island",Wading,M,16,Injured,19h45,0.9 m to 1.5 m [3' to 5'] shark
23-May-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Swimming,M,17,Injured,14h30,Bull shark
28-May-2004,2004.0,Unprovoked,USA,California,"Salmon Creek, Sonoma County",Surfing,M,44,No injury,11h00,2.4 m to 3.7 m [8' to 12'] shark
23-May-2004,2004.0,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Swimming,M,9,Injured,12h30,
22-May-2004,2004.0,Invalid,USA,Florida,St. Johns County,Swimming,M,9,Injured,,Not confirmed
22-May-2004,2004.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,F,9,Injured,Afternoon,
22-May-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Wading,F,24,Injured,16h00,
18-May-2004,2004.0,Provoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Diving,M,63,Injured,15h00,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)"
04-May-2004,2004.0,Unprovoked,USA,Texas,Channel between South Padre Island & Padre Island National Seashore,Surfing,M,28,No injury,16h30,"Mako shark, 1.8 m [6']"
01-May-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,Piedade ,Swimming,M,22,Fatal,Afternoon,
26-Apr-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,"Latitude Reef, near Forster",Diving,M,,Injured,Morning,"Wobbegong shark, 1.2 m [4'] k"
22-Apr-2004,2004.0,Watercraft,NEW ZEALAND,North Island,Motunui,Fishing,M,,No injury,,White shark
13-Apr-2004,2004.0,Unprovoked, TONGA,Nuku'alofa,30 nautical miles offshore,Fishing,M,,Injured,,small sharks
13-Apr-2004,2004.0,Invalid, TONGA,Nuku'alofa,30 nautical miles offshore,Fishing,M,,Injured,,Questionable Incident
07-Apr-2004,2004.0,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",Surfing,M,57,Fatal,07h08,Tiger shark
05-Apr-2004,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Surfers' Corner, Muizenberg, False Bay",Surfing,M,16,Injured,14h00,White shark
04-Apr-2004,2004.0,Invalid,USA,Hawaii,Velzyland,Surfing,F,22,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",,Not confirmed
31-Mar-2004,2004.0,Unprovoked,USA,Florida,Palm Beach County,,M,26,Injured,,
31-Mar-2004,2004.0,Unprovoked,USA,Florida,"Stuart Rocks, Martin County",Surfing,M,20,Injured,09h00,Bull shark
29-Mar-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Body boarding,M,22,Injured,07h30,Bull shark
28-Mar-2004,2004.0,Unprovoked,USA,Florida,Brevard County,Surfing,M,,Injured,15h00,Bull shark
27-Mar-2004,2004.0,Unprovoked,REUNION,Saint-Benoît,Spot de la gare,Surfing,M,20,Injured,17h00 or 17h40,2.5 m shark
27-Mar-2004,2004.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,M,61,Injured,08h30,
14-Mar-2004,2004.0,Unprovoked,USA,Hawaii,Punaluu,Snorkeling,F,,Injured,10h00,1.8 m [6'] shark
22-Mar-2004,2004.0,Unprovoked,NEW ZEALAND,North Island,Te Arai Point,Fishing,M,,No injury,12h30,Bronze whaler shark
16-Mar-2004,2004.0,Unprovoked,USA,Hawaii,"Kalihiwai Beach, Kauai",Surfing,M,51,No injury,07h45,Tiger shark
06-Mar-2004,2004.0,Unprovoked,AUSTRALIA,Western Australia,5 nm off Cervantes,Fishing,M,47,Injured,,"Bronze whaler shark, 1.5 m [5'] "
29-Feb-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,29,Fatal,15h00,
26-Feb-2004,2004.0,Unprovoked,NEW ZEALAND,"South Island, near Karitane north of Dunedin",South Beach,Surfing,M,15,Injured,19h00,2 m [6.75'] sevengill  shark
21-Feb-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,"Taree, Old Bar Beach",Swimming,M,,Injured,,
16-Feb-2004,2004.0,Invalid,AUSTRALIA,Queensland,"Fido's Reef, 300 m east of Cook Island. Cook Island is 2 miles from Tweed Heads, Gold Coast",Diving,M,31,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",11h00,Not confirmed
14-Feb-2004,2004.0,Unprovoked,EGYPT,,"Coral Bay, Sharm-el-Sheikh",Snorkeling,M,,Fatal,,
11-Feb-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,Caves Beach,Snorkeling,M,22,Injured,,Brown shark
25-Jan-2004,2004.0,Unprovoked,AUSTRALIA,Western Australia,Binningup,Diving,M,46,Injured,11h05,White shark
23-Jan-2004,2004.0,Unprovoked,URUGUAY,Rocha,Ensenada de la Coronilla,Surfing,M,21,Injured,,Tiger shark
22-Jan-2004,2004.0,Invalid,NEW ZEALAND,Northlands,90 Mile Beach,Boogie boarding,M,,No injury,,Shark involvement doubtful
21-Jan-2004,2004.0,Unprovoked,VENEZUELA,Anzoategui,"Playa Colorada Beach, Mochima National Park, only 200 m west of Santa Cruz Beach",Swimming,M,,Injured,14h30,Bull shark
21-Jan-2004,2004.0,Unprovoked,VENEZUELA,Anzoategui,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",Fishing,M,40,Injured,11h00,Bull shark
Reported 15-Jan-2004 ,2004.0,Watercraft,SOUTH AFRICA,KwaZulu-Natal,Ballito,Surfing,M,,No injury,,"Mako shark, 3 m to 4 m [10' to 13'] "
12-Jan-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,Bushrangers Pass at Bass Point,Diving,M,,No injury,Midday,"Raggedtooth shark, 3.5 m [11.5'] "
07-Jan-2004,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"West Beach, Port Alfred",Surfing,M,22,Injured,,Raggedtooth shark
03-Jan-2004,2004.0,Invalid,NEW ZEALAND,North Island,"Whiritoa, Eastern Cormandel",Fishing,M,,No injury,Afternoon,Invalid
03-Jan-2004,2004.0,Sea Disaster,EGYPT,Sinai Peninsula,Off Sharm El-Sheikh,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,M,,"No survivors, sharks scavenged on remains",03h00,
2004,2004.0,Unprovoked,AUSTRALIA,Western Australia,Redgate Beach,Surfing,M,,No injury,Morning,
31-Dec-2003,2003.0,Watercraft,SOUTH AFRICA,KwaZulu-Natal,Salt Rock ,,M,,No injury,,Shortfin mako shark
26-Dec-2003,2003.0,Invalid,USA,Florida,"Miami, Dade County",Swimming,M,28,Injured,,Questionable Incident
13-Dec-2003,2003.0,Unprovoked,USA,Florida,Brevard County,Swimming,M,13,Injured,13h15,
13-Dec-2003,2003.0,Unprovoked,NEW ZEALAND,Cook Islands,Pukapuka Northern Group,Swimming,M,45,Fatal,Night,
08-Dec-2003,2003.0,Unprovoked,AUSTRALIA,Victoria,Collendina Beach east of Ocean Grove,Surfing,M,36,No injury,09h30,
30-Nov-2003,2003.0,Unprovoked,AUSTRALIA,Western Australia,Perth? (Margaret River District),Swimming,M,,"After biting Halverson, it bit Scott's thigh",11h30,"Wobbegong shark, 1.2 m [4'] "
